running on Julia 1.8.5 (8 Threads)
simulation_pattern: 10800
file_name: data/20230324_103925/7.csv
file_name: data/20230324_103925/25.csv
file_name: data/20230324_103925/1.csv
file_name: data/20230324_103925/19.csv
file_name: data/20230324_103925/37.csv
file_name: data/20230324_103925/13.csv
file_name: data/20230324_103925/43.csv
file_name: data/20230324_103925/31.csv
18:24:17 data/20230324_103925/1.csv 93.51851851851852%
18:26:04 data/20230324_103925/19.csv 100.0%
27997.320743 seconds (139.49 G allocations: 102.587 TiB, 30.83% gc time, 0.00% compilation time)
file_name: data/20230324_103925/20.csv
18:26:43 data/20230324_103925/7.csv 97.22222222222221%
18:26:51 data/20230324_103925/1.csv 94.44444444444444%
18:27:31 data/20230324_103925/32.csv 2.7777777777777777%
18:28:52 data/20230324_103925/43.csv 92.5925925925926%
18:28:56 data/20230324_103925/7.csv 98.14814814814815%
18:28:58 data/20230324_103925/14.csv 2.7777777777777777%
18:29:01 data/20230324_103925/1.csv 95.37037037037037%
18:29:11 data/20230324_103925/26.csv 3.7037037037037033%
18:31:17 data/20230324_103925/43.csv 93.51851851851852%
18:31:20 data/20230324_103925/7.csv 99.07407407407408%
18:32:43 data/20230324_103925/38.csv 1.8518518518518516%
18:33:13 data/20230324_103925/20.csv 0.9259259259259258%
18:33:49 data/20230324_103925/43.csv 94.44444444444444%
18:33:52 data/20230324_103925/7.csv 100.0%
28466.174948 seconds (141.20 G allocations: 103.952 TiB, 30.71% gc time, 0.00% compilation time)
file_name: data/20230324_103925/8.csv
18:33:58 data/20230324_103925/26.csv 4.62962962962963%
18:36:08 data/20230324_103925/43.csv 95.37037037037037%
18:36:14 data/20230324_103925/32.csv 3.7037037037037033%
18:36:15 data/20230324_103925/14.csv 3.7037037037037033%
18:37:55 data/20230324_103925/8.csv 0.9259259259259258%
18:38:22 data/20230324_103925/38.csv 2.7777777777777777%
18:39:04 data/20230324_103925/1.csv 96.29629629629629%
18:40:42 data/20230324_103925/14.csv 4.62962962962963%
18:41:12 data/20230324_103925/1.csv 97.22222222222221%
18:41:57 data/20230324_103925/32.csv 4.62962962962963%
18:42:28 data/20230324_103925/26.csv 5.555555555555555%
18:43:57 data/20230324_103925/20.csv 1.8518518518518516%
18:44:46 data/20230324_103925/8.csv 1.8518518518518516%
18:45:18 data/20230324_103925/43.csv 96.29629629629629%
18:45:38 data/20230324_103925/1.csv 98.14814814814815%
18:46:03 data/20230324_103925/14.csv 5.555555555555555%
18:46:10 data/20230324_103925/38.csv 3.7037037037037033%
18:46:47 data/20230324_103925/26.csv 6.481481481481481%
18:47:38 data/20230324_103925/32.csv 5.555555555555555%
18:48:01 data/20230324_103925/1.csv 99.07407407407408%
18:50:18 data/20230324_103925/43.csv 97.22222222222221%
18:50:20 data/20230324_103925/1.csv 100.0%
29455.855753 seconds (144.50 G allocations: 106.565 TiB, 30.38% gc time, 0.00% compilation time)
file_name: data/20230324_103925/2.csv
18:51:03 data/20230324_103925/38.csv 4.62962962962963%
18:52:12 data/20230324_103925/32.csv 6.481481481481481%
18:52:34 data/20230324_103925/43.csv 98.14814814814815%
18:53:18 data/20230324_103925/26.csv 7.4074074074074066%
18:53:53 data/20230324_103925/14.csv 6.481481481481481%
18:54:04 data/20230324_103925/20.csv 2.7777777777777777%
18:54:52 data/20230324_103925/43.csv 99.07407407407408%
18:55:07 data/20230324_103925/8.csv 2.7777777777777777%
18:55:35 data/20230324_103925/32.csv 7.4074074074074066%
18:57:08 data/20230324_103925/43.csv 100.0%
29864.162352 seconds (145.88 G allocations: 107.671 TiB, 30.26% gc time, 0.00% compilation time)
file_name: data/20230324_103925/44.csv
18:57:49 data/20230324_103925/26.csv 8.333333333333332%
18:57:57 data/20230324_103925/20.csv 3.7037037037037033%
18:58:18 data/20230324_103925/8.csv 3.7037037037037033%
19:01:02 data/20230324_103925/32.csv 8.333333333333332%
19:01:30 data/20230324_103925/20.csv 4.62962962962963%
19:02:19 data/20230324_103925/44.csv 0.9259259259259258%
19:02:27 data/20230324_103925/14.csv 7.4074074074074066%
19:03:10 data/20230324_103925/38.csv 5.555555555555555%
19:04:57 data/20230324_103925/8.csv 4.62962962962963%
